iter	RMSE
0	15181.54122
1	14289.49344
2	13387.19277
3	12570.22418
4	11942.86431
5	11350.41725
6	10737.57607
7	10188.51097
8	9669.904508
9	9244.922096
10	8816.939221
11	8469.755297
12	8147.426077
13	7860.868426
14	7597.35465
15	7349.510191
16	7135.666732
17	6985.650035
18	6763.345012
19	6585.517558
20	6419.132426
21	6270.094489
22	6104.01046
23	6011.271133
24	5881.197134
25	5750.776763
26	5649.664678
27	5552.816496
28	5453.249532
29	5350.28963
30	5272.932408
31	5188.135252
32	5105.723716
33	5023.563254
34	4945.330673
35	4873.905054
36	4820.61164
37	4761.149006
38	4734.387468
39	4694.34291
40	4653.163253
41	4637.877297
42	4606.802359
43	4530.43741
44	4487.164418
45	4446.068455
46	4396.169956
47	4344.928366
48	4303.133493
49	4272.394733
50	4254.692633
51	4238.945133
52	4201.961023
53	4177.074581
54	4130.978181
55	4093.080411
56	4069.521476
57	4035.895472
58	4020.721952
59	3986.610991
60	3956.305466
61	3939.290296
62	3924.398674
63	3899.922807
64	3844.993436
65	3825.895916
66	3787.012565
67	3753.668916
68	3743.180228
69	3738.586702
70	3731.103461
71	3714.604046
72	3698.958233
73	3680.788378
74	3675.505593
75	3654.986941
76	3606.037702
77	3575.776484
78	3568.435913
79	3547.062023
80	3514.539216
81	3504.529087
82	3499.619914
83	3477.562557
84	3467.241168
85	3448.759085
86	3420.613926
87	3398.690849
88	3361.846596
89	3358.241183
90	3336.494591
91	3331.974177
92	3323.949675
93	3296.294041
94	3266.202095
95	3229.62501
96	3198.76639
97	3176.573805
98	3147.118988
99	3130.608111
100	3109.436424
101	3084.783526
102	3053.840641
103	3033.468794
104	3013.271052
105	2987.267078
106	2963.870898
107	2947.533871
108	2930.070385
109	2900.818152
110	2884.347624
111	2881.061692
112	2878.295644
113	2861.562797
114	2837.877472
115	2810.414064
116	2790.809042
117	2770.951963
118	2758.329381
119	2733.225169
120	2716.189811
121	2695.916944
122	2690.511568
123	2670.409408
124	2643.728038
125	2627.878991
126	2608.434039
127	2593.549328
128	2574.811794
129	2561.348462
130	2551.03064
131	2539.661282
132	2522.117264
133	2499.773788
134	2481.205361
135	2470.128446
136	2456.970002
137	2432.990743
138	2421.207274
139	2403.783656
140	2391.250087
141	2378.735642
142	2375.557713
143	2359.403823
144	2344.77204
145	2342.816198
146	2321.632339
147	2307.667782
148	2293.345781
149	2283.33723
150	2272.959926
151	2250.458957
152	2235.665278
153	2223.508635
154	2204.71309
155	2190.284582
156	2180.907304
157	2172.261885
158	2166.030604
159	2154.8963
160	2145.135911
161	2132.7756
162	2121.823483
163	2110.479991
164	2104.471915
165	2097.395077
166	2093.187052
167	2089.960122
168	2074.107463
169	2060.171466
170	2046.889849
171	2044.498054
172	2042.616261
173	2035.974084
174	2021.852785
175	2015.373322
176	2013.551249
177	1997.058319
178	1987.970033
179	1983.293503
180	1981.793664
181	1979.133396
182	1977.651963
183	1959.714035
184	1945.435297
185	1930.827063
186	1922.089014
187	1902.582666
188	1890.445402
189	1881.985455
190	1872.427326
191	1866.339712
192	1864.618437
193	1852.189765
194	1842.734647
195	1834.79102
196	1827.288569
197	1814.480341
198	1798.707633
199	1790.456725
200	1781.79001
201	1765.826372
202	1754.96318
203	1752.495305
204	1745.875483
205	1739.419351
206	1738.381893
207	1734.496034
208	1726.603729
209	1719.436317
210	1709.025389
211	1694.856627
212	1693.671637
213	1691.067615
214	1683.693069
215	1673.05508
216	1662.451088
217	1656.27641
218	1649.839368
219	1648.052157
220	1646.810088
221	1641.053053
222	1632.803487
223	1627.198287
224	1619.0289
225	1610.153485
226	1599.158966
227	1587.400028
228	1586.237173
229	1585.078009
230	1576.016215
231	1570.390743
232	1563.692939
233	1562.604789
234	1553.738008
235	1548.880653
236	1546.841776
237	1541.406338
238	1537.756861
239	1530.957512
240	1518.68109
241	1514.415108
242	1512.748236
243	1504.255099
244	1495.461905
245	1488.486741
246	1484.181822
247	1480.97839
248	1469.653137
249	1468.365136
250	1461.002011
251	1455.156931
252	1453.881548
253	1449.215811
254	1440.595634
255	1433.962822
256	1431.050839
257	1426.309713
258	1420.645696
259	1417.039135
260	1406.347316
261	1400.305219
262	1397.501943
263	1390.676065
264	1387.405415
265	1384.118079
266	1381.574969
267	1371.236615
268	1363.450894
269	1357.788161
270	1353.675672
271	1350.483831
272	1342.528447
273	1338.060417
274	1329.234668
275	1323.272638
276	1314.17933
277	1306.078217
278	1299.381509
279	1293.142884
280	1281.889858
281	1277.160015
282	1270.433366
283	1264.616393
284	1263.862086
285	1257.70282
286	1248.714534
287	1241.925665
288	1238.182722
289	1233.731963
290	1228.28988
291	1227.00685
292	1223.433392
293	1222.854694
294	1211.812504
295	1207.707087
296	1204.8094
297	1203.093645
298	1194.202458
299	1189.598561
300	1183.851028
301	1180.792686
302	1178.755557
303	1177.674161
304	1174.69366
305	1174.109104
306	1169.40379
307	1159.559453
308	1158.847757
309	1154.679442
310	1147.843406
311	1141.875564
312	1138.79267
