iter	Passed	Remaining
0	0	468
1	1	406
2	2	370
3	2	357
4	3	349
5	4	346
6	4	337
7	5	328
8	5	323
9	6	319
10	7	315
11	7	311
12	8	308
13	8	305
14	9	303
15	9	301
16	10	298
17	11	295
18	11	293
19	12	292
20	12	292
21	13	291
22	13	290
23	14	288
24	15	287
25	15	286
26	16	284
27	16	283
28	17	282
29	17	281
30	18	280
31	19	279
32	19	278
33	20	279
34	21	279
35	21	278
36	22	278
37	22	277
38	23	277
39	24	276
40	24	276
41	25	275
42	25	274
43	26	273
44	26	272
45	27	272
46	28	271
47	28	269
48	29	268
49	29	267
50	30	266
51	30	265
52	31	266
53	32	265
54	32	265
55	33	265
56	34	265
57	34	265
58	35	264
59	36	264
60	36	263
61	37	263
62	37	262
63	38	262
64	39	261
65	39	260
66	40	260
67	40	260
68	41	259
69	42	258
70	42	258
71	43	257
72	43	256
73	44	256
74	45	256
75	45	255
76	46	255
77	47	254
78	47	253
79	48	253
80	48	252
81	49	251
82	50	251
83	50	250
84	51	250
85	51	249
86	52	248
87	52	247
88	53	247
89	54	246
90	54	245
91	55	244
92	55	244
93	56	243
94	56	242
95	57	242
96	58	241
97	58	240
98	59	240
99	59	239
100	60	239
101	61	238
102	61	238
103	62	237
104	62	236
105	63	236
106	64	235
107	64	234
108	65	233
109	65	233
110	66	232
111	66	231
112	67	231
113	68	230
114	68	230
115	69	229
116	69	228
117	70	228
118	71	227
119	71	227
120	72	226
121	72	225
122	73	224
123	74	224
124	74	224
125	75	223
126	75	222
127	76	222
128	76	221
129	77	220
130	78	220
131	78	219
132	79	218
133	79	217
134	80	217
135	80	216
136	81	216
137	82	215
138	82	214
139	83	214
140	84	214
141	84	213
142	85	213
143	86	212
144	86	212
145	87	211
146	87	210
147	88	210
148	88	209
149	89	209
150	90	208
151	90	207
152	91	207
153	91	206
154	92	205
155	93	205
156	93	204
157	94	204
158	94	203
159	95	202
160	96	202
161	96	201
162	97	201
163	97	200
164	98	200
165	99	199
166	99	199
167	100	198
168	100	197
169	101	197
170	102	196
171	102	195
172	103	195
173	103	194
174	104	193
175	104	193
176	105	192
177	106	191
178	106	191
179	107	190
180	107	189
181	108	189
182	108	188
183	109	188
184	110	187
185	110	186
186	111	186
187	111	185
188	112	184
189	112	184
190	113	183
191	114	182
192	114	182
193	115	181
194	115	181
195	116	180
196	117	180
197	117	179
198	118	179
199	118	178
200	119	177
201	120	177
202	120	176
203	121	175
204	121	175
205	122	174
206	123	174
207	123	173
208	124	173
209	124	172
210	125	171
211	126	171
212	126	170
213	127	170
214	127	169
215	128	168
216	129	168
217	129	167
218	130	167
219	130	166
220	131	166
221	132	165
222	132	164
223	133	164
224	133	163
225	134	163
226	135	162
227	135	161
228	136	161
229	136	160
230	137	160
231	138	159
232	138	158
233	139	158
234	139	157
235	140	156
236	140	156
237	141	155
238	142	155
239	143	154
240	143	154
241	144	153
242	144	153
243	145	152
244	145	151
245	146	151
246	147	150
247	147	150
248	148	149
249	149	149
250	149	148
251	150	147
252	150	147
253	151	146
254	151	145
255	152	145
256	153	144
257	153	144
258	154	143
259	154	142
260	155	142
261	156	141
262	156	141
263	157	140
264	157	139
265	158	139
266	158	138
267	159	138
268	160	137
269	160	136
270	161	136
271	162	135
272	162	135
273	163	134
274	163	133
275	164	133
276	164	132
277	165	132
278	166	131
279	166	130
280	167	130
281	167	129
282	168	129
283	169	128
284	169	127
285	170	127
286	170	126
287	171	126
288	172	125
289	172	125
290	173	124
291	173	123
292	174	123
293	174	122
294	175	122
295	176	121
296	176	120
297	177	120
298	178	119
299	178	119
300	179	118
301	179	117
302	180	117
303	181	116
304	181	116
305	182	115
306	183	115
307	183	114
308	184	113
309	184	113
310	185	112
311	185	112
312	186	111
313	187	110
314	187	110
315	188	109
316	188	109
317	189	108
318	190	107
319	190	107
320	191	106
321	191	106
322	192	105
323	193	104
324	193	104
325	194	103
326	194	103
327	195	102
328	196	101
329	196	101
330	197	100
331	197	100
332	198	99
333	199	98
334	199	98
335	200	97
336	200	97
337	201	96
338	202	96
339	202	95
340	203	94
341	203	94
342	204	93
343	205	93
344	205	92
345	206	91
346	207	91
347	207	90
348	208	90
349	209	89
350	209	89
351	210	88
352	210	87
353	211	87
354	212	86
355	212	86
356	213	85
357	214	84
358	214	84
359	215	83
360	215	83
361	216	82
362	217	81
363	217	81
364	218	80
365	219	80
366	219	79
367	220	79
368	221	78
369	221	77
370	222	77
371	222	76
372	223	76
373	224	75
374	224	74
375	225	74
376	225	73
377	226	73
378	227	72
379	227	71
380	228	71
381	228	70
382	229	70
383	229	69
384	230	68
385	231	68
386	231	67
387	232	67
388	232	66
389	233	65
390	233	65
391	234	64
392	235	64
393	235	63
394	236	62
395	236	62
396	237	61
397	237	60
398	238	60
399	239	59
400	239	59
401	240	58
402	241	58
403	241	57
404	242	56
405	242	56
406	243	55
407	244	55
408	244	54
409	245	53
410	245	53
411	246	52
412	247	52
413	247	51
414	248	50
415	248	50
416	249	49
417	249	49
418	250	48
419	251	47
420	251	47
421	252	46
422	253	46
423	253	45
424	254	44
425	254	44
426	255	43
427	256	43
428	256	42
429	257	41
430	258	41
431	258	40
432	259	40
433	259	39
434	260	38
435	260	38
436	261	37
437	262	37
438	263	36
439	264	36
440	264	35
441	265	34
442	265	34
443	266	33
444	267	33
445	267	32
446	268	31
447	269	31
448	269	30
449	270	30
450	270	29
451	271	28
452	272	28
453	272	27
454	273	27
455	273	26
456	274	25
457	275	25
458	275	24
459	276	24
460	276	23
461	277	22
462	278	22
463	278	21
464	279	21
465	279	20
466	280	19
467	281	19
468	281	18
469	282	18
470	282	17
471	283	16
472	284	16
473	284	15
474	285	15
475	285	14
476	286	13
477	287	13
478	287	12
479	288	12
480	288	11
481	289	10
482	290	10
483	290	9
484	291	9
485	291	8
486	292	7
487	293	7
488	293	6
489	294	6
490	294	5
491	295	4
492	296	4
493	296	3
494	297	3
495	297	2
496	298	1
497	298	1
498	299	0
499	300	0
