日期,事件描述,影响类型,事件性质
2023/2/12,第 25 届香港马拉松,正面,体育赛事
2023/3/31,香港国际七人榄球赛开幕,正面,国际体育赛事
2023/4/1,香港国际七人榄球赛第二天,正面,国际体育赛事
2023/4/2,香港国际七人榄球赛第三天,正面,国际体育赛事
2023/5/5,周杰伦嘉年华世界巡回演唱会香港站首日,正面,大型演唱会
2023/5/6,周杰伦嘉年华世界巡回演唱会香港站次日,正面,大型演唱会
2023/5/7,周杰伦嘉年华世界巡回演唱会香港站第三日,正面,大型演唱会
2023/5/10,周杰伦嘉年华世界巡回演唱会香港站第四日,正面,大型演唱会
2023/5/11,周杰伦嘉年华世界巡回演唱会香港站第五日,正面,大型演唱会
2023/5/13,周杰伦嘉年华世界巡回演唱会香港站第六日,正面,大型演唱会
2023/5/14,周杰伦嘉年华世界巡回演唱会香港站第七日,正面,大型演唱会
2023/7/17,台风 “泰利” 登陆，香港天文台发出八号风球,负面,极端天气
2023/9/1,台风 “苏拉” 过境，香港天文台发出八号风球,负面,极端天气
2023/11/7,国际金融领袖投资峰会开幕,正面,国际会议
2023/11/8,国际金融领袖投资峰会第二天,正面,国际会议
2023/11/19,港珠澳大桥香港段半程马拉松,正面,体育赛事
2024/1/21,第 26 届香港马拉松,正面,体育赛事
2024/4/30,五月天 “5525 回到那一天” 巡回演唱会香港站首日,正面,大型演唱会
2024/5/1,五月天 “5525 回到那一天” 巡回演唱会香港站次日,正面,大型演唱会
2024/5/3,五月天 “5525 回到那一天” 巡回演唱会香港站第三日,正面,大型演唱会
2024/5/4,五月天 “5525 回到那一天” 巡回演唱会香港站第四日,正面,大型演唱会
2024/5/5,五月天 “5525 回到那一天” 巡回演唱会香港站第五日,正面,大型演唱会
2024/5/7,五月天 “5525 回到那一天” 巡回演唱会香港站第六日,正面,大型演唱会
2024/5/8,五月天 “5525 回到那一天” 巡回演唱会香港站第七日,正面,大型演唱会
2024/5/11,第 17 届 CCF 服务科学国际会议（CCF ICSS 2024）开幕,正面,国际会议
2024/5/12,第 17 届 CCF 服务科学国际会议（CCF ICSS 2024）第二天,正面,国际会议
2024/9/5,台风 “摩羯” 登陆，香港天文台发出八号风球,负面,极端天气
2024/11/18,国际金融领袖投资峰会开幕,正面,国际会议
2024/11/19,国际金融领袖投资峰会第二天,正面,国际会议
2024/11/20,国际金融领袖投资峰会第三天,正面,国际会议
2024/12/17,刘德华 “今天…IS THE DAY” 巡回演唱会香港站首日,正面,大型演唱会
2024/12/18,刘德华 “今天…IS THE DAY” 巡回演唱会香港站次日,正面,大型演唱会
2024/12/19,刘德华 “今天…IS THE DAY” 巡回演唱会香港站第三日,正面,大型演唱会
2025/2/9,第 27 届香港马拉松,正面,体育赛事
2025/3/28,香港国际七人榄球赛开幕,正面,国际体育赛事
2025/3/29,香港国际七人榄球赛第二天,正面,国际体育赛事
2025/3/30,香港国际七人榄球赛第三天,正面,国际体育赛事
2025/4/8,Coldplay《Music Of The Spheres》世界巡回演唱会香港站首日,正面,国际大型演唱会
2025/4/9,Coldplay《Music Of The Spheres》世界巡回演唱会香港站次日,正面,国际大型演唱会
2025/4/10,Coldplay《Music Of The Spheres》世界巡回演唱会香港站第三日,正面,国际大型演唱会
2025/4/11,Coldplay《Music Of The Spheres》世界巡回演唱会香港站第四日,正面,国际大型演唱会
2025/4/12,Coldplay《Music Of The Spheres》世界巡回演唱会香港站第五日,正面,国际大型演唱会
2025/4/13,沙尘暴过境香港，空气污染指数（AQI）达 176，健康风险级别升至 “严重”,负面,极端天气
2025/4/14,世界互联网大会亚太峰会开幕,正面,国际会议
2025/4/15,世界互联网大会亚太峰会第二天,正面,国际会议
2025/4/14,世界旅游城市联合会香港香山旅游峰会开幕,正面,国际会议
2025/4/15,世界旅游城市联合会香港香山旅游峰会第二天,正面,国际会议
2025/4/16,世界旅游城市联合会香港香山旅游峰会第三天,正面,国际会议
2025/4/17,世界旅游城市联合会香港香山旅游峰会第四天,正面,国际会议
