年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,0,C
2023,1,2,Trace,C
2023,1,3,Trace,C
2023,1,4,Trace,C
2023,1,5,Trace,C
2023,1,6,0,C
2023,1,7,0,C
2023,1,8,Trace,C
2023,1,9,Trace,C
2023,1,10,5.6,C
2023,1,11,2.7,C
2023,1,12,Trace,C
2023,1,13,1.2,C
2023,1,14,0.1,C
2023,1,15,Trace,C
2023,1,16,0,C
2023,1,17,Trace,C
2023,1,18,0,C
2023,1,19,0,C
2023,1,20,Trace,C
2023,1,21,Trace,C
2023,1,22,Trace,C
2023,1,23,0,C
2023,1,24,Trace,C
2023,1,25,0,C
2023,1,26,0,C
2023,1,27,Trace,C
2023,1,28,0,C
2023,1,29,0,C
2023,1,30,0,C
2023,1,31,0,C
2023,2,1,0,C
2023,2,2,0,C
2023,2,3,Trace,C
2023,2,4,0.1,C
2023,2,5,Trace,C
2023,2,6,Trace,C
2023,2,7,Trace,C
2023,2,8,Trace,C
2023,2,9,Trace,C
2023,2,10,Trace,C
2023,2,11,Trace,C
2023,2,12,Trace,C
2023,2,13,Trace,C
2023,2,14,Trace,C
2023,2,15,0,C
2023,2,16,0,C
2023,2,17,0,C
2023,2,18,Trace,C
2023,2,19,0,C
2023,2,20,Trace,C
2023,2,21,Trace,C
2023,2,22,0,C
2023,2,23,0,C
2023,2,24,0,C
2023,2,25,0,C
2023,2,26,0,C
2023,2,27,0,C
2023,2,28,0,C
2023,3,1,0,C
2023,3,2,0,C
2023,3,3,0,C
2023,3,4,0,C
2023,3,5,0,C
2023,3,6,0,C
2023,3,7,0,C
2023,3,8,0,C
2023,3,9,0,C
2023,3,10,0,C
2023,3,11,0,C
2023,3,12,0,C
2023,3,13,0,C
2023,3,14,0,C
2023,3,15,0,C
2023,3,16,0,C
2023,3,17,0,C
2023,3,18,0,C
2023,3,19,Trace,C
2023,3,20,0,C
2023,3,21,0,C
2023,3,22,Trace,C
2023,3,23,Trace,C
2023,3,24,Trace,C
2023,3,25,23,C
2023,3,26,8.2,C
2023,3,27,10,C
2023,3,28,Trace,C
2023,3,29,Trace,C
2023,3,30,Trace,C
2023,3,31,0.2,C
2023,4,1,Trace,C
2023,4,2,2.3,C
2023,4,3,Trace,C
2023,4,4,0.5,C
2023,4,5,1.5,C
2023,4,6,14.2,C
2023,4,7,4.1,C
2023,4,8,Trace,C
2023,4,9,0.1,C
2023,4,10,0,C
2023,4,11,0,C
2023,4,12,0,C
2023,4,13,0,C
2023,4,14,Trace,C
2023,4,15,0,C
2023,4,16,0,C
